1,Pabellón criollo venezolano,https://www.recetasgratis.net/receta-de-pabellon-criollo-venezolano-56850.html,"500 gramos de Falda de la vaca
1 unidad de Pimiento rojo
1 unidad de Cebolla blanca
2 dientes de Ajo
2 cucharadas soperas de Salsa inglesa
1 rama de Cilantro
2 unidades de Tomate
1 cucharadita de Comino
300 gramos de Caraotas negras
1 unidad de Pimiento rojo
1 unidad de Cebolla blanca
4 cucharadas soperas de Papelón (panela)
2 dientes de Ajo
1 cucharadita de Comino
1 libra de Arroz blanco cocinado
2 unidades de Plátanos maduros
1 litro de Aceite
1 pizca de Sal
1 pizca de Pimienta","1 Antes de realizar el pabellón criollo, el primer paso es alistar todos los ingredientes. 
2 En una olla a presión sellar la falda previamente aderezada con sal, pimienta y comino. Cuando esté dorada retirar y agregar la cebolla, el pimiento, el tomate sin piel y el ajo, todo picado finalmente, cocinar muy bien hasta que esté blando. 
3 Volver a llevar la carne a la olla, agregar la salsa inglesa, agua o caldo de res hasta que cubra un poco la carne. Incorpora también la rama de cilantro, un poco más de comino, sal y pimienta. Tapa la olla a presión y cocina durante 1 hora y media. 
4 Cuando esté lista la carne, con las manos o con un tenedor deshebra y lleva a la olla de nuevo para que absorba más el sabor del resto de ingredientes. Reservar hasta el momento de servir. 
5 Para las caraotas, desde la noche anterior déjalas en remojo, al momento de prepararlas agrega abundante agua en una olla a presión, añade las caraotas con un poco de cebolla y sal, y deja cocinar durante 1 hora y media. 
6 En una sartén prepara un sofrito con la cebolla, el pimiento rojo, el ajo cortado finamente y el papelón rallado. Luego, añádelo a las caraotas (si tienen mucha agua se puede retirar un poco), cocina a fuego medio hasta que espesen un poco, rectifica sabor con sal, comino y pimienta. 
7 En una sartén aparte con aceite a temperatura media, fríe las tajadas de plátano hasta que estén doradas. 
8 Finalmente, sirve el pabellón criollo venezolano con las caraotas negras, la carne mechada, el arroz blanco y las tajadas de plátano. Si te ha gustado esta receta, tienes algún comentario o inquietud, danos tu opinión.",33faad72-325b-4a48-8412-88cdce5cd38e,comida
2,Arepa basica,https://www.recetasgratis.net/receta-de-arepa-basica-7293.html,"1 cucharada de aceite agua
2 vasos de harina de maíz blanco
1 cucharadita de sal","1 Para obtener unas arepas doradas, pocos son los ingredientes que se utilizan, es el amasado y la cocción lo que requiere un poco de atenciónVierta una taza y media de agua en un recipiente. 
2 Agregue la sal y un chorrito de aceite, agregue progresivamente la harina diluyéndola en el agua, evitando que se formen grumos, amase con las manos agregando poco a poco harina y agua hasta obtener una masa suave que no se pegue a las manos. 
3 Forme bolas medianas y aplánelas creando un redondel un poco grueso y simétrico. 
4 Caliente una plancha y engrásela con un poquito de aceite, coloque las arepas y cocine por ambos lados, (hasta que se despegan solas de la plancha), luego lleve al horno previamente caliente a 350º y déjelas hasta que al retirarlas las golpee levemente y suenen a “hueco”y se tornen abombadas y doraditas.",b6fa7939-9155-4772-b2df-9f7459a17ef5,comida
3,Arepa con carne desmechada,https://www.recetasgratis.net/receta-de-arepa-con-carne-desmechada-37605.html,"6 arepas
500 gramos de carne para desmechar
0,
5 cucharadas de mostaza
2 cucharadas de vinagre
5 cucharadas de aceite
2 tomates maduros pelados y picados
2 tallos de cebolla larga finamente picada
2 dientes de ajo machacado
1 cucharada de orégano fresco
50 ccs de clado de carne
1 pizca de sal
1 pizca de cominos","1 Cocinar la carne con un poco de sal durante 60 minutos. 
2 Retirar del fuego y verificar que se encuentre blanda. 
3 Sofreír en aceite los tomates, las cebollas, los ajos, el orégano y los cominos durante 10 minutos, agregar el caldo de carne, la mostaza, el vinagre y sal al gusto. 
4 Continuar la cocción hasta obtener una mezcla homogénea. 
5 Agregar la carne desmechada, tapar y dejar cocinar a fuego lento durante 10 minutos. 
6 Asar las arepas al gusto y colocar la mezcla de carne y la salsa sobre la arepa caliente.",6a9031eb-6c16-4d69-b72e-bdd55e36804a,comida
4,Arroz con Pollo,https://www.mycolombianrecipes.com/es/arroz-con-pollo/,"2 pechugas de pollo con hueso y sin piel
1 cebolla larga
½ cebolla blanca
2 dientes de ajo
½ cucharada de comino molido
½ cucharada de Sazón con azafran
1 hoja de laurel
Sal y Pimienta
2 cucharadas de aceite de oliva
½ taza de cebolla picada
1 diente de ajo picado
½ de taza de pimientón rojo picado
½ taza de pimientón verde picado
1 taza de arroz blanco
1 cucharada de pasta de tomate
1 tableta de caldo de pollo
2 ½ tazas de caldo de pollo
½ cucharada de Sazón con azafran
½ de taza de cilantro fresco picado
½ taza de arvejas congelados
½ taza de zanahorias cortadas en cuadritos
½ taza de habichuelas verdes congeladasy cortadas en cubitos","Coloque la pechuga de pollo, 5 tazas de agua y el resto de ingredientes para el caldo en una olla mediana.Poner a hervir, tapar y bajar el fuego a medio-bajo. Cocine durante 20 a 25 minutos. Apague el fuego y deje el pollo en la olla durante unos 15 minutos cubierto. Dejar enfriar, desmechar y reservar.
Colar el caldo de pollo y medir 2 y ½ tazas y reservarlo. En una olla mediana, caliente el aceite de oliva a fuego medio-alto. Añadir la cebolla, el pimentón verde, el ajo y el pimientón rojo. Cocine hasta que la cebolla estué transparente, unos 4 a 5 minutos.
Añadir el arroz, la pasta de tomate, el caldo de pollo y sazón. Revuelva hasta que el arroz esté bien cubierto unos 3 minutos. Añadir el caldo de pollo y poner a hervir. Luego, reduzca el fuego a bajo.
Tape y cocine a fuego lento durante unos 15 minutos. Añadir las arvejas, las zanahorias y las habichuelas y cocinar durante 7 minutos muás, añadir el pollo y el cilantro picado, mezclar bien con un tenedor, tapar y cocinar por 5 minutos muás.",86af71ef-e16a-11ed-a325-a96d6180cd25,comida
5,Arroz con Fideos,https://www.mycolombianrecipes.com/es/arroz-con-fideos/,"3 cucharadas de aceite vegetal o de oliva
⅔ taza de pasta de cabello de ángel en pedazos de 1 ½ pulgadas
1 taza de arroz blanco de grano largo
2 tazas de agua o 2 tazas de pollo o caldo de verduras
½ cucharadita de sal","En una olla pequeña, calentar el aceite a fuego medio. Añadir la pasta cabello de ángel y sofría por 2 a 3 minutos o hasta que la pasta esté dorada.
Añadir el arroz, revuelva con una cuchara de madera y sofría por 1 minuto. Añadir el caldo o agua, aumentar el fuego a alto y llevar a hervir. Añadir la sal, tapar y bajar el fuego a bajo y cocine por unos 20 minutos o hasta que el arroz esté tierno.
Retirar del fuego, dejar reposar durante 5 minutos y servir.",86af7253-e16a-11ed-a986-a96d6180cd25,comida
6,Arroz con Zanahoria,https://www.mycolombianrecipes.com/es/arroz-con-zanahoria/,"2 tazas de arroz blanco de grano largo
4 tazas de caldo de verduras o de pollo
2 cucharadas de aceite vegetal
Sal al gusto
1 taza de zanahorias ralladas","Enjuague bien el arroz colocuándolo en un colador y un chorro de agua fría sobre uél.
Coloque el arroz en una olla mediana; a continuaciuón, auñadir el caldo, el aceite, las zanahorias y la sal.
Llevar a hervir a fuego alto. Revuelva una vez y cubra, reduzca a fuego lento y cocine por 20 minutos.
Retire la olla del fuego y dejar reposar durante 10 minutos. Esponjar el arroz con un tenedor y sirva inmediatamente.",86af9a05-e16a-11ed-a89a-a96d6180cd25,comida
7,Arroz con pollo y marisco,https://www.recetasgratis.net/receta-de-arroz-con-pollo-y-marisco-45756.html,"½ kilogramo de Arroz
250 gramos de Gambas
250 gramos de Mejillones
150 gramos de Calamares
¼ cucharadita de Azafrán o Colorante alimentario
4 unidades de Tomate
3 cucharadas soperas de Aceite de oliva
150 gramos de Guisantes
250 gramos de Pollo troceado
¼ cucharadita de Cúrcuma en polvo
1½ litros de Caldo de pollo
4 dientes de Ajo
2 unidades de Cebolla
1 unidad de Pimiento rojo","1 Para empezar a preparar el arroz con pollo y mariscos debemos alistar los ingredientes. Para ello, pica finamente la cebolla y el ajo, el pimiento en juliana, pela las gambas, lava bien los mejillones y los calamares que deberás cortar en anillos. 
2 Coloca los tomates a hervir con agua por unos dos minutos. Luego deja enfriar pasando por agua fría para poder pelar y picarlos finamente. 
3 Aparte, sofreír ligeramente el pollo hasta que dore bien y reservar. Puedes usar muslos que tienen más sabor. 
4 En la misma sartén anterior, hacer un sofrito a fuego medio con la cebolla, el ajo, el azafrán y la cúrcuma. Pasados unos tres minutos incorporar el tomate y freír todo junto por otros tres minutos. 
5 A continuación, añade el arroz y revuelve bien durante 5 minutos para que éste se impregne de todos los sabores del sofrito. Cuando el arroz empiece a verse transparente, incorpora el caldo de pollo y deja en el fuego hasta que hierva. 
6 Cuando rompa el hervor, colocar la tapa a la olla y dejar que siga herviendo por unos diez minutos. Luego añadir los trozos de pollo y dejar que hierva a fuego lento por unos 20 minutos. 
7 Pasado este tiempo, añadir el resto de los mariscos a la preparación junto con los guisantes. Continuar con la cocción hasta que el líquido se haya consumido. 
8 Deja reposar y sirve el arroz con mariscos decorando con una rodaja de limón y unas hojas de perejil o cilantro. Y si te gusta este plato también puedes probar el arroz frito con pollo al que podrás echarle los mariscos que más te gusten.",0fb412cd-5631-4412-9d2b-a6841eca4f61,comida
8,Arroz con cerdo,https://www.recetasgratis.net/receta-de-arroz-con-cerdo-15913.html,"300 gramos de Punta de lomo
500 gramos de Arroz
200 gramos de Costilla de cerdo
1 diente de Ajo
1 unidad de Cebolla
250 gramos de Judías verdes
½ cucharadita de Pimentón picante
1 pizca de Sal
1 pizca de Pimienta
5 cucharadas soperas de Aceite","1 Trocear la carne (que pueden ser restos de un lomo) y las costillas. 
2 Poner el aceite a calentar,rehogar la carne hasta que empiece a tomar color,retirar y en el mismo aceite freir la cebolla y ajo muy picados, cuando estén casi dorados,añadir las carnes y las judias verdes troceadas, salpimentar,sazonar con el pimentón y verter un litro y medio de agua, cocer durante una hora y media agregando agua,veinte min antes de terminar,deshuesar las costillas,echar la carne al puchero y agregar el arroz, recitificar, si es necesario, la sal y el liquido. 
3 Servir en sopera.",3d4706f5-5e72-4cc5-87e8-266bac1e18f8,comida
9,Tequeños venezolanos,https://www.recetasgratis.net/receta-de-tequenos-venezolanos-62491.html,"300 gramos de Harina todo uso
30 gramos de Huevo
50 gramos de Margarina
110 mililitros de Agua
15 gramos de Azúcar
5 gramos de Sal
0,
1 gramo de Levadura instantánea Queso duro salado","1 Para hacer la masa para tequeños fritos, deberás mezclar todos los ingredientes de la lista, menos el queso, y empezar amasar. Ve espolvoreando harina sobre la mesa cada vez que lo consideres necesario para que la masa no se pegue a esta. 
2 Una vez integrados y amasados todos los ingredientes, dejamos reposar la masa por 40 minutos. Pasado este tiempo, volvemos a amasar con ayuda de un rodillo, haciendo pliegues sobre si misma, hasta conseguir una lámina de un 1 mm de ancho.Si tienes dudas sobre la preparación de esta masa puedes revisar la receta de masa para tequeños con fotos en el paso a paso. De todas formas y aunque esta es la masa original de los tequeños venezolanos, los tequeños también se puede hacer con masa de hojaldre. 
3 Ahora que ya tenemos la masa lista, podemos armar los tequeños de queso. Para ello, corta el queso en bastones y corta tiras con la masa.El procedimiento correcto para envolver el queso es enrollar la masa alrededor, primero a lo largo y luego por los lados, de esta forma sellamos bien el queso para que no suelte líquidos durante la cocción. 
4 A la hora de freír los tequeños el aceite debe estar bien caliente, durante la cocción puedes ir bajando la llama un poco para controla la temperatura y dejar que los tequeños se doren de forma pareja y que el queso en su interior se derrita un poco. Al sacarlos, colócalos sobre un plato con servilletas absorbentes para eliminar el exceso de aceite. 
5 Los tequeños venezolanos se comen recién hechos y se pueden acompañar con cualquier tipo de salsas, desde una simple mayonesa casera o una salsa rosa, hasta una salsa agridulce. ¡A disfrutar!",8fadc983-4726-4ed5-91a4-0e14ba007b80,comida
10,Tequeños de yuca,https://www.recetasgratis.net/receta-de-tequenos-de-yuca-56885.html,"300 gramos de Yuca cocinada
1 cucharadita de Sal
1 cucharadita de Polvo de hornear
1 cucharadita de Azúcar
2 tazas de Harina de trigo (280 gramos)
1 unidad de Huevo
1 cucharadita de Mantequilla
200 gramos de Queso salado","1 El primer paso para realizar nuestra receta de tequeños de yuca es prealistar los ingredientes. 
2 Primero vamos a hacer la masa de yuca, entonces debes cernir o tamizar la harina en un bol, esto quiere decir pasarla por un colador para que esta quede más fina, agrega el polvo de hornear y reserva. 
3 Lleva una taza de agua a una olla honda y agrega la mantequilla, derrite bien estos ingredientes hasta que se integren. 
4 En el bol donde tenemos la harina agrega el huevo y bate estos ingredientes hasta formar una masa. 
5 Adiciona el puré de yuca y mezcla muy bien todos los ingredientes. 
6 Adiciona 40 gramos del queso salado rallado y mezcla bien con la masa de los tequeños de yuca. 
7 Agrega el azúcar e integra bien, deja reposar nuestra masa durante 20 minutos aproximadamente. 
8 Una vez repose nuestra masa estará lista para trabajar los tequeños de yuca. 
9 Estira la masa de los tequeños de yuca lo más delgada posible. 
10 Corta tiras de 2 cm de ancho. 
11 Corta el queso salado en cuadros pequeños y envuelve en la masa de yuca como se observa en la fotografía lo ideal es que el queso quede bien envuelto en la masa. 
12 Lleva una sartén a fuego medio con suficiente aceite para freír, una vez este caliente el aceite adiciona nuestros tequeños de yuca, debes freír por lado y lado. 
13 Una vez estén dorados retira los tequeños caseros en un plato con papel absorbente para retirar el exceso de grasa. 
14 Sirve nuestros tequeños de yuca bien calientes lo ideal es consumirlos puedes acompañarlos con cualquier salsa o suero costeño. Si deseas más recetas de aperitivos y tienes algún comentario o inquietud, escríbenos. ¡Disfruta!",ea9577e9-f2fd-43f0-9ffd-800c2fd4d77c,comida
